journal,domain,tier,issn,total_dois,article_count_2024plus,crossref_title
IET Intelligent Transport Systems,cs_ai,T2,1751-956X;1751-9578,2207,324,IET Intelligent Transport Systems
Peer-to-Peer Networking and Applications,cs_ai,T2,1936-6442;1936-6450,2187,100,Peer-to-Peer Networking and Applications
ACM Transactions on Embedded Computing Systems,cs_ai,T2,1539-9087;1558-3465,2128,318,ACM Transactions on Embedded Computing Systems
Computers,cs_ai,T2,2073-431X,2117,539,Computers
International Journal of Fuzzy Systems,cs_ai,T2,1562-2479;2199-3211,2103,546,International Journal of Fuzzy Systems
International Journal of Applied and Computational Mathematics,cs_ai,T2,2349-5103;2199-5796,2089,444,International Journal of Applied and Computational Mathematics
npj Computational Materials,cs_ai,T2,2057-3960,2074,1306,npj Computational Materials
Frontiers in Artificial Intelligence,cs_ai,T2,2624-8212,2023,2743,Frontiers in Artificial Intelligence
Computational Statistics,cs_ai,T2,0943-4062;1613-9658,2016,290,Computational Statistics
Applied Artificial Intelligence,cs_ai,T2,0883-9514;1087-6545,1966,450,Applied Artificial Intelligence
International Journal of Neural Systems,cs_ai,T2,0129-0657;1793-6462,1953,169,International Journal of Neural Systems
Computational Intelligence,cs_ai,T2,0824-7935;1467-8640,1912,436,Computational Intelligence
IEEE Transactions on Control of Network Systems,cs_ai,T2,2325-5870,1878,498,IEEE Transactions on Control of Network Systems
IEEE Transactions on Cognitive Communications and Networking,cs_ai,T2,2332-7731,1877,755,IEEE Transactions on Cognitive Communications and Networking
Information Systems Research,cs_ai,T2,1047-7047;1526-5536,1870,316,Information Systems Research
Pattern Recognition and Image Analysis,cs_ai,T2,1054-6618;1555-6212,1859,211,Pattern Recognition and Image Analysis
Advances in Computational Mathematics,cs_ai,T2,1019-7168;1572-9044,1848,199,Advances in Computational Mathematics
Journal of Computational and Nonlinear Dynamics,cs_ai,T2,1555-1423,1838,225,Journal of Computational and Nonlinear Dynamics
Applied and Computational Harmonic Analysis,cs_ai,T2,1063-5203;1096-603X,1813,174,Applied and Computational Harmonic Analysis
Computational Geometry,cs_ai,T2,0925-7721,1807,71,Computational Geometry
Social Networks,cs_ai,T2,0378-8733,1800,148,Social Networks
ACM Transactions on Design Automation of Electronic Systems,cs_ai,T2,1084-4309;1557-7309,1788,320,ACM Transactions on Design Automation of Electronic Systems
Mathematical and Computational Applications,cs_ai,T2,1300-686X;2297-8747,1747,310,Mathematical and Computational Applications
Annals of Mathematics and Artificial Intelligence,cs_ai,T2,1012-2443;1573-7470,1730,136,Annals of Mathematics and Artificial Intelligence
International Journal on Artificial Intelligence Tools,cs_ai,T2,0218-2130;1793-6349,1716,190,International Journal on Artificial Intelligence Tools
International Journal of Computational Methods,cs_ai,T2,0219-8762;1793-6969,1673,179,International Journal of Computational Methods
IEEE Transactions on Artificial Intelligence,cs_ai,T2,2691-4581,1658,2653,IEEE Transactions on Artificial Intelligence
IEEE Transactions on Emerging Topics in Computational Intelligence,cs_ai,T2,2471-285X,1649,2111,IEEE Transactions on Emerging Topics in Computational Intelligence
IEEE Transactions on Circuits and Systems II: Express Briefs,cs_ai,T2,,1627,1627,
Geo-spatial Information Science,cs_ai,T2,1009-5020;1993-5153,1615,426,Geo-spatial Information Science
ACM Transactions on Information Systems,cs_ai,T2,1046-8188;1558-2868,1572,359,ACM Transactions on Information Systems
IEEE Transactions on Affective Computing,cs_ai,T2,1949-3045;1949-3045;2371-9850,1564,191,IEEE Transactions on Affective Computing
Social Network Analysis and Mining,cs_ai,T2,1869-5450;1869-5469,1556,387,Social Network Analysis and Mining
